origin_country,total_flights,avg_velocity,on_ground
Algeria,7,257.17857142857144,0
Angola,1,223.24,0
Argentina,16,171.198125,2
Armenia,1,197.89,0
Australia,344,99.84956268221575,94
Austria,36,146.62305555555557,9
Azerbaijan,2,245.805,0
Bahamas,4,195.1125,0
Bahrain,12,184.71583333333334,1
Bangladesh,2,217.44,0
Belgium,6,101.31333333333333,3
Bhutan,1,1.29,1
Brazil,108,175.15157407407406,5
Brunei Darussalam,1,226.83,0
Bulgaria,3,227.90333333333334,0
Cambodia,1,158.0,0
Canada,506,151.4825296442688,73
Chile,32,185.656875,2
China,118,208.9672881355932,6
Colombia,19,157.3905263157895,1
Czech Republic,7,166.22,1
Denmark,9,182.04555555555555,0
Dominican Republic,6,168.615,1
Egypt,16,238.445625,0
Estonia,6,43.278333333333336,4
Ethiopia,24,233.75541666666666,1
Finland,15,146.19799999999998,1
France,54,182.8974074074074,5
Georgia,3,111.37333333333333,2
Germany,59,153.2035593220339,16
Greece,9,225.5011111111111,0
Guatemala,7,60.73714285714285,1
Hungary,16,223.884375,0
Iceland,12,171.65416666666667,3
India,76,175.07500000000002,13
Indonesia,8,216.96625,0
Ireland,108,185.35203703703704,6
Islamic Republic of Iran,1,197.32,0
Israel,26,216.54384615384618,3
Italy,4,135.95749999999998,1
Japan,183,169.13573770491803,30
Jordan,2,219.39,0
Kazakhstan,4,207.4025,0
Kingdom of the Netherlands,32,195.4403125,4
Kuwait,9,257.9777777777778,0
Latvia,2,101.75,1
Lebanon,2,228.91500000000002,0
Libyan Arab Jamahiriya,3,236.82333333333335,0
Lithuania,5,95.116,3
Luxembourg,7,246.34,0
Malaysia,46,149.38021739130434,5
Maldives,1,260.8,0
Malta,48,193.019375,3
Mexico,105,187.5854285714286,4
Morocco,12,198.26166666666666,0
Myanmar,2,218.105,0
New Zealand,60,115.0255,6
Nicaragua,1,30.08,0
Nigeria,2,263.25,0
Norway,9,212.44222222222223,0
Oman,12,211.47416666666666,1
Pakistan,5,213.42399999999998,0
Panama,20,225.0505,0
Philippines,45,121.98822222222223,9
Poland,31,162.8351612903226,5
Portugal,22,190.16954545454544,0
Qatar,58,202.33379310344827,2
Republic of Korea,77,180.3312987012987,5
Republic of Moldova,1,291.22,0
Romania,6,163.39333333333335,0
Russian Federation,27,159.4148148148148,2
Rwanda,2,145.76500000000001,1
San Marino,2,94.225,1
Saudi Arabia,18,191.60888888888888,2
Serbia,4,178.225,1
Singapore,28,193.42285714285714,1
Slovakia,1,71.01,0
Slovenia,2,135.37,0
Solomon Islands,1,0.0,1
South Africa,2,169.345,0
Spain,75,146.25013333333334,15
Sri Lanka,6,214.76833333333332,0
Sweden,16,206.685,0
Switzerland,13,198.48999999999998,2
Taiwan,39,196.06538461538463,1
Thailand,29,167.1755172413793,1
Trinidad and Tobago,1,129.31,0
Tunisia,3,202.67666666666665,0
Turkey,78,210.31,2
Ukraine,5,218.97199999999998,0
United Arab Emirates,116,230.93862068965518,1
United Kingdom,125,176.80048000000002,13
United Republic of Tanzania,1,166.95,0
United States,7443,136.17656363392018,528
Uzbekistan,6,194.86333333333334,0
Venezuela,1,201.91,0
Viet Nam,18,207.50666666666666,2
